ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,COR,SEN,SPO,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0,0,0,0,0.77661973,0.90943664,0.968169,0.7402,1,0,0,0,0,0,0.1,0,5,0,1,0,0,1,0,Hadoop Common
0,0,0,0,1.2181818,2.0325,1.9179546,0.6944,0,0,1,0,1,0,0.39,0,2,0,1,0,0,1,0,Hadoop Common
0,0.045454545,0.136363636,0.363636364,0.981381675,1.464030423,1.467073986,0.401277273,0.454545455,0.045454545,0.5,0,0.727272727,-0.133933333,0.195963636,0,4.272727273,0,1,0,0,1,0,Hadoop Common
0.032258065,0.161290323,0.129032258,0.387096774,0.890895512,1.355735442,1.307176868,0.65066129,0.516129032,0.032258065,0.451612903,0,0.64516129,-0.057914286,0.2478875,6,4.419354839,0,1,1,1,1,1,Hadoop Common
0,0,1,0,1.211579,1.6576315,1.8092983,0.5476,0,0,1,0,1,-0.0883,0,0,6,0,1,0,0,1,0,Hadoop Common
0,0.081081081,0,0.189189189,0.923888115,1.2722338,1.23283367,0.758843243,0.810810811,0.027027027,0.162162162,0,0.432432432,-0.078638462,0.207422222,0,2.351351351,0,1,0,0,1,0,Hadoop Common
0,1,0,0,1.0319697,1.3405303,1.3865151,0.7065,1,0,0,0,0,-0.05,0,0,4,0,1,0,0,1,0,Hadoop Common
0.019607843,0.058823529,0.039215686,0.039215686,0.911155763,1.408907203,1.366341923,0.70052549,0.901960784,0,0.098039216,0,0.529411765,-0.109055556,0.306738095,0,2.31372549,0,1,0,0,1,0,Hadoop Common
0.011904762,0.176587302,0.192460317,0.361111111,0.850461009,1.291131753,1.272672479,0.552967063,0.569444444,0.027777778,0.396825397,0.005952381,0.573412698,-0.188549275,0.253441593,4,3.166666667,0,0,1,1,1,1,Hadoop Common
0,0,0,1,0.871852995,1.291915467,1.313513983,0.249966667,0.5,0,0.5,0,0.333333333,-0.046833333,0.045066667,0,5.5,0,1,0,0,1,0,Hadoop Common
0,0,0.333333333,0.555555556,1.382140559,1.890831467,1.821440489,0.578922222,0.777777778,0,0.222222222,0,0.444444444,-0.1015,0.48125,0,2.333333333,0,1,0,0,1,0,Hadoop Common
0.028,0.244,0.24,0.24,0.946624373,1.425196387,1.435580212,0.6276808,0.596,0.052,0.348,0.004,0.692,-0.145657407,0.196590714,4,4.648,0,1,1,1,1,0,Hadoop Common
0,0.111111111,0,0.333333333,0.798918908,1.093229117,1.131174256,0.570688889,0.777777778,0,0.222222222,0,0.444444444,-0.211625,0.2794,0,5.333333333,0,1,0,0,1,0,Hadoop Common
